team,display_name,region,outright_odds_decimal,implied_prob_raw,implied_prob_norm,current_mu,current_sigma,odds_seed_mu,final_seed_mu,seed_sigma,seed_ts,note
HLE,HLE,LCK,2.5,0.4,0.261441,31.33,0.751,32.605,31.776,0.751,29.523,赛区TS为主，赔率校准
BLG,BLG,LPL,2.7,0.37037,0.242075,31.14,0.738,32.259,31.531,0.738,29.316,赛区TS为主，赔率校准
T1,T1,LCK,2.9,0.344828,0.22538,30.52,0.759,31.937,31.016,0.759,28.74,赛区TS为主，赔率校准
TES,TES,LPL,7.0,0.142857,0.093372,26.35,0.459,27.972,26.918,0.459,25.541,赛区TS为主，赔率校准
G2,G2 Esports,INTL,10.0,0.1,0.06536,25.0,8.333,26.367,26.025,4.8,11.625,赔率为主，覆盖占位TS
LYON,LYON,INTL,21.0,0.047619,0.031124,25.0,8.333,23.028,23.521,5.6,6.721,赔率为主，覆盖占位TS
TSW,Team Secret Whales,INTL,26.0,0.038462,0.025139,25.0,8.333,22.067,22.8,6.0,4.8,赔率为主，覆盖占位TS
FURIA,FURIA,INTL,26.0,0.038462,0.025139,25.0,8.333,22.067,22.8,6.0,4.8,赔率为主，覆盖占位TS
KC,Karmine Corp,INTL,36.0,0.027778,0.018156,25.0,8.333,20.602,21.702,4.8,7.302,赔率为主，覆盖占位TS
TLAW,Team Liquid,INTL,51.0,0.019608,0.012816,21.97,6.087,19.035,19.769,5.6,2.969,赔率为主，覆盖占位TS
